Time,Infected Homosexual Males,Infected Bisexual Males,Infected Heterosexual Females,Infected Heterosexual Males
0.113,4.681043263230287,4.843245669910569,90.97930165453947,90.03284789412754
0.114,4.703463643836968,4.861692976217842,91.83060133117148,90.935150813541
0.115,4.724384294663458,4.878075725636891,92.6086124286899,91.7630346293522
0.116,4.74389159261053,4.89259790148888,93.31829391762248,92.52126043083142
0.117,4.762069081129536,4.905448847288325,93.96451878856236,93.21453760286542
0.11800000000000001,4.778997202722497,4.916803140084185,94.55202191167955,93.84746960104577
0.11900000000000001,4.794753107126495,4.926820781833156,95.08535991735792,94.4245114313088
0.12,4.809410525019234,4.935647635577441,95.56888170062217,94.94993755628133
0.121,4.823039697673845,4.943416042140662,96.00670811147513,95.42781889169197
0.122,4.835707353727316,4.950245562419317,96.4027194238799,95.86200756873166
0.123,4.847476725043991,4.956243799528134,96.76054925649726,96.25612820153528
0.124,4.858407594503579,4.961507263647473,97.08358373047793,96.61357449560454
0.125,4.868556369384597,4.966122250172788,97.37496477925596,96.93751014894568
0.126,4.877976174822778,4.970165708557877,97.63759666143652,97.23087312211311
0.127,4.886716962581937,4.9737060850444905,97.87415486256646,97.49638247825763
0.128,4.894825631071458,4.976804127313084,98.08709669938955,97.73654711413435
0.129,4.902346153174808,4.979513643044955,98.27867305771564,97.95367581425823
0.13,4.90931970901573,4.981882207548918,98.45094080042927,98.14988816096033
0.131,4.915784821284817,4.983951818079386,98.60577547473484,98.32712592209678
0.132,4.921777491182102,4.985759494360867,98.74488402759762,98.48716461550694
0.133,4.927331333405882,4.987337826234668,98.86981730614609,98.63162501547276
0.134,4.932477708939327,4.988715470346278,98.98198217653048,98.76198442220654
0.135,4.937245854659818,4.989917598475207,99.08265314153356,98.8795875617885
0.136,4.941663009026986,4.990966300540874,99.17298337530987,98.98565702206882
0.137,4.945754533299032,4.9918809455554625,99.25401512417713,99.08130316092006
0.138,4.949544027888032,4.992678503884951,99.32668944651924,99.16753344790996
0.139,4.953053443597931,4.993373834161219,99.39185528360997,99.24526121991369
0.14,4.956303187597762,4.99397993809217,99.45027786744559,99.31531384625696
0.14100000000000001,4.95931222407087,4.9945081862676215,99.50264648228546,99.37844031043659
0.14200000000000002,4.962098169551694,4.994968517875264,99.54958160423459,99.43531822395924
0.14300000000000002,4.964677383017656,4.995369617037734,99.59164144845037,99.48656029393692
0.14400000000000002,4.967065050847358,4.995719068269856,99.6293279569118,99.53272027025633
0.145,4.969275266789579,4.996023493342122,99.66309226156693,99.57429840079764
0.146,4.971321107112336,4.996288671628446,99.69333965841258,99.61174642464839
0.147,4.973214701118922,4.996519645816875,99.72043412793522,99.64547213381269
0.148,4.974967297229725,4.996720814673925,99.74470243658092,99.67584353377676
0.149,4.976589324835798,4.99689601437795,99.76643785270193,99.7031926326382
0.15,4.978090452133499,4.997048589775218,99.78590350889209,99.72781888748338
0.151,4.979479640149851,4.997181456764265,99.80333544088502,99.74999233541759
0.152,4.980765193166172,4.997297156879427,99.81894533133361,99.76995643520718
0.153,4.981954805743582,4.99739790502264,99.83292298488433,99.78793064395101
0.154,4.983055606548587,4.9974856311829345,99.84543855905477,99.80411275161363
0.155,4.984074199170492,4.99756201688479,99.85664457355423,99.81868099466571
0.156,4.985016700115177,4.997628527018689,99.86667771888224,99.83179596851778
0.157,4.9858887741519995,4.997686437629029,99.87566048331574,99.84360235692289
0.158,4.986695667182535,4.9977368601650785,99.88370261576489,99.85423049507777
0.159,4.987442236791618,4.997780762639126,99.89090244044633,99.86379778178019
0.16,4.9881329806328525,4.9978189880815105,99.8973480378942,99.87240995470776
0.161,4.988772062792572,4.9978522706341835,99.90311830550418,99.88016224167454
0.162,4.989363338268131,4.9978812495820675,99.90828390958089,99.88714039959524
0.163,4.989910375688548,4.997906481584199,99.91290813973296,99.89342165184313
0.164,4.990416478397886,4.997928451333854,99.91704767542636,99.89907553372338
0.165,4.990884704014423,4.99794758084807,99.92075327356146,99.90416465489557
0.166,4.991317882571594,4.9979642375617015,99.92407038507764,99.90874538676407
0.167,4.991718633339994,4.99797874137902,99.92703970780371,99.91286848210795
0.168,4.992089380423289,4.997991370816466,99.92969768206002,99.9165796335395
0.169,4.992432367214828,4.998002368353182,99.9320769348706,99.91991997675737
0.17,4.992749669796,4.998011945091097,99.93420667805826,99.92292654399283
0.171,4.993043209351919,4.998020284813362,99.93611306496545,99.92563267253115
0.17200000000000001,4.99331476367494,4.99802754751857,99.93781951006439,99.92806837272086
0.17300000000000001,4.993565977821651,4.998033872498291,99.93934697528829,99.93026065945757
0.17400000000000002,4.993798373984501,4.998039381016793,99.94071422652515,99.93223385074295
0.17500000000000002,4.994013360634949,4.998044178644259,99.94193806336445,99.93400983656889
0.176,4.994212240991056,4.998048357288231,99.94303352487078,99.9356083210606
0.177,4.994396220858725,4.998051996962239,99.94401407387356,99.93704704052482
0.178,4.9945664158923195,4.998055167325574,99.94489176200595,99.93834195979046
0.179,4.994723858317116,4.998057929023778,99.94567737749618,99.93950744899428
0.18,4.994869503153059,4.998060334855624,99.94638057750714,99.94055644275242
0.181,4.995004233976429,4.998062430789013,99.94701000663474,99.94150058346736
0.182,4.995128868253399,4.998064256845349,99.94757340300845,99.94235035034704
0.183,4.995244162277035,4.998065847869393,99.94807769328786,99.94311517555712
0.184,4.995350815736974,4.99806723419943,99.94852907771465,99.94380354878678
0.185,4.995449475948919,4.998068442250653,99.94893310625886,99.94442311138128
0.186,4.995540741769096,4.9980694950229845,99.94929474679024,99.94498074108084
0.187,4.995625167217002,4.998070412543147,99.94961844610846,99.94548262830125
0.188,4.995703264828051,4.998071212249471,99.9499081845792,99.94593434479961
0.189,4.995775508756154,4.998071909326867,99.95016752504512,99.94634090548432
0.19,4.995842337644789,4.998072516998423,99.95039965661076,99.9467068240529
